order_id,order_date,region,city,channel,product,category,quantity,unit_price,discount_rate,payment_method,customer_id,gross_sales,discount_amount,net_sales
10001,2025-03-21,East,Kolkata,Online,Laptop,Electronics,1,65000.0,0.15,UPI,C001,65000.0,9750.0,55250.0
10002,2025-05-07,West,Pune,Retail Store,Monitor,Electronics,4,11400.0,0.2,Card,C002,45600.0,9120.0,36480.0
10003,2025-06-26,North,Lucknow,Distributor,Keyboard,Electronics,2,1800.0,0.0,Cash,C003,3600.0,0.0,3600.0
10004,2025-05-23,South,Bengaluru,Online,Mouse,Electronics,6,800.0,0.15,Net Banking,C004,4800.0,720.0,4080.0
10005,2025-03-23,East,Howrah,Retail Store,Office Chair,Furniture,4,8925.0,0.0,UPI,C005,35700.0,0.0,35700.0
10006,2025-06-17,West,kolkata,Distributor,Desk,Furniture,4,13300.0,0.05,Card,C006,53200.0,2660.0,50540.0
10007,2025-05-29,North,Delhi,Online,Printer,Electronics,6,11000.0,0.15,Cash,C007,66000.0,9900.0,56100.0
10008,2025-02-11,South,Chennai,Retail Store,Notebook,Stationery,4,120.0,0.1,Net Banking,C008,480.0,48.0,432.0
10009,2025-01-12,East,Durgapur,Distributor,Pen Pack,Stationery,1,189.0,0.1,UPI,C009,189.0,18.900000000000002,170.1
10010,2025-04-25,West,Mumbai,Online,Headphones,Electronics,7,2500.0,0.2,Card,C010,17500.0,3500.0,14000.0
10011,2025-03-06,North,Jaipur,Retail Store,Laptop,Electronics,2,65000.0,0.15,Cash,C011,130000.0,19500.0,110500.0
10012,2025-06-11,South,Hyderabad,Distributor,Monitor,Electronics,1,12000.0,0.2,Net Banking,C012,12000.0,2400.0,9600.0
10013,2025-02-05,East,Kolkata,Online,Keyboard,Electronics,5,1890.0,0.15,UPI,C013,9450.0,1417.5,8032.5
10014,2025-01-08,West,Pune,Retail Store,Mouse,Electronics,3,800.0,0.1,Card,C014,2400.0,240.0,2160.0
10015,2025-05-04,North,Lucknow,Distributor,Office Chair,Furniture,4,8500.0,0.0,Cash,C015,34000.0,0.0,34000.0
10016,2025-06-25,South,Bengaluru,Online,Desk,Furniture,7,14000.0,0.15,Net Banking,C016,98000.0,14700.0,83300.0
10017,2025-03-09,East,Howrah,Retail Store,Printer,Electronics,3,11550.0,0.05,UPI,C017,34650.0,1732.5,32917.5
10018,2025-02-04,West,Surat,online,Notebook,Stationery,1,126.0,0.1,Card,C018,126.0,12.600000000000001,113.4
10019,2025-03-28,North,Delhi,Online,Pen Pack,Stationery,4,180.0,0.0,Cash,C019,720.0,0.0,720.0
10020,2025-05-02,South,Chennai,Retail Store,Headphones,Electronics,3,2500.0,0.05,Net Banking,C020,7500.0,375.0,7125.0
10021,2025-05-31,East,Durgapur,Distributor,Laptop,Electronics,7,61750.0,0.1,UPI,C021,432250.0,43225.0,389025.0
10022,2025-02-26,West,Mumbai,Online,Monitor,Electronics,5,11400.0,0.15,Card,C022,57000.0,8550.0,48450.0
10023,2025-05-26,North,Jaipur,Retail Store,Keyboard,Electronics,6,1800.0,0.2,Cash,C023,10800.0,2160.0,8640.0
10024,2025-02-22,South,Hyderabad,Distributor,Mouse,Electronics,6,840.0,0.05,Net Banking,C024,5040.0,252.0,4788.0
10025,2025-01-26,East,Kolkata,Online,Office Chair,Furniture,2,8500.0,0.15,UPI,C025,17000.0,2550.0,14450.0
10026,2025-01-02,West,Pune,Retail Store,Desk,Furniture,6,14700.0,0.0,Card,C026,88200.0,0.0,88200.0
10027,2025-05-01,North,Lucknow,Distributor,Printer,Electronics,6,11550.0,0.15,Cash,C027,69300.0,10395.0,58905.0
10028,2025-05-22,South,Bengaluru,Online,Notebook,Stationery,4,120.0,0.15,Net Banking,C028,480.0,72.0,408.0
10029,2025-04-13,East,Howrah,Retail Store,Pen Pack,Stationery,4,180.0,0.1,UPI,C029,720.0,72.0,648.0
10030,2025-01-21,West,Surat,Distributor,Headphones,Electronics,1,2375.0,0.0,Card,C030,2375.0,0.0,2375.0
10031,2025-03-27,North,Delhi,Online,Laptop,Electronics,4,65000.0,0.15,Cash,C031,260000.0,39000.0,221000.0
10032,2025-05-19,South,Chennai,Retail Store,Monitor,Electronics,-2,11400.0,0.1,Net Banking,C032,68400.0,6840.0,61560.0
10033,2025-04-11,East,Durgapur,Distributor,Keyboard,Electronics,5,1800.0,0.15,UPI,C033,9000.0,1350.0,7650.0
10034,2025-02-25,West,Mumbai,Online,Mouse,Electronics,1,840.0,0.1,Card,C034,840.0,84.0,756.0
10035,2025-03-21,North,Jaipur,Retail Store,Office Chair,Furniture,5,8500.0,0.0,Cash,C035,42500.0,0.0,42500.0
10036,2025-03-15,South,Hyderabad,Distributor,Desk,Furniture,7,14000.0,0.05,Net Banking,C036,98000.0,4900.0,93100.0
10037,2025-02-12,East,Kolkata,Online,Printer,Electronics,7,10450.0,0.2,UPI,C037,73150.0,14630.0,58520.0
10038,2025-02-20,West,Pune,Retail Store,Notebook,Stationery,6,126.0,0.0,Card,C038,756.0,0.0,756.0
10039,2025-04-30,North,Lucknow,Distributor,Pen Pack,Stationery,7,180.0,0.05,Cash,C039,1260.0,63.0,1197.0
10040,2025-05-22,South,Bengaluru,Online,Headphones,Electronics,1,2500.0,0.1,Net Banking,C040,2500.0,250.0,2250.0
10041,2025-03-15,East,Howrah,Retail Store,Laptop,Electronics,7,65000.0,0.15,UPI,C041,455000.0,68250.0,386750.0
10042,2025-01-31,West,Surat,Distributor,Monitor,Electronics,3,12000.0,0.2,Card,C042,36000.0,7200.0,28800.0
10043,2025-01-17,North,Delhi,Online,Keyboard,Electronics,3,1710.0,0.0,Cash,C043,5130.0,0.0,5130.0
10044,2025-03-25,South,Chennai,Retail Store,Mouse,Electronics,6,800.0,0.15,Net Banking,C044,4800.0,720.0,4080.0
10045,2025-04-01,East,Durgapur,Distributor,Office Chair,Furniture,6,,0.0,UPI,C045,53550.0,0.0,53550.0
10046,2025-05-07,West,Mumbai,Online,Desk,Furniture,7,14000.0,0.0,Card,C046,98000.0,0.0,98000.0
10047,2025-03-10,North,Jaipur,Retail Store,Printer,Electronics,4,10450.0,0.1,Cash,C047,41800.0,4180.0,37620.0
10048,2025-04-25,South,Hyderabad,Distributor,Notebook,Stationery,2,120.0,0.05,Net Banking,C048,240.0,12.0,228.0
10049,2025-01-16,East,Kolkata,Online,Pen Pack,Stationery,5,189.0,0.05,UPI,C049,945.0,47.25,897.75
10050,2025-06-24,West,Pune,Retail Store,Headphones,Electronics,3,2500.0,0.0,Card,C050,7500.0,0.0,7500.0
10051,2025-05-07,North,Lucknow,Distributor,Laptop,Electronics,3,65000.0,0.2,Cash,C051,195000.0,39000.0,156000.0
10052,2025-06-25,South,Bengaluru,Online,Monitor,Electronics,4,12600.0,0.05,Net Banking,C052,50400.0,2520.0,47880.0
10053,2025-05-10,East,Howrah,Retail Store,Keyboard,Electronics,2,1800.0,0.15,UPI,C053,3600.0,540.0,3060.0
10054,2025-02-19,West,Surat,Distributor,Mouse,Electronics,6,800.0,0.1,Card,C054,4800.0,480.0,4320.0
10055,2025-06-13,North,Delhi,Online,Office Chair,Furniture,1,8500.0,0.0,Cash,C055,8500.0,0.0,8500.0
10056,2025-02-06,South,Chennai,Retail Store,Desk,Furniture,1,14000.0,0.1,Net Banking,C001,14000.0,1400.0,12600.0
10057,2025-04-15,East,Durgapur,Distributor,Printer,Electronics,6,11550.0,0.05,UPI,C002,69300.0,3465.0,65835.0
10058,2025-06-05,West,Mumbai,Online,Notebook,Stationery,4,120.0,1.25,Card,C003,480.0,0.0,480.0
10059,2025-05-11,North,Jaipur,Retail Store,Pen Pack,Stationery,1,180.0,0.15,Cash,C004,180.0,27.0,153.0
10060,2025-04-24,South,Hyderabad,Distributor,Headphones,Electronics,5,2500.0,0.1,Net Banking,C005,12500.0,1250.0,11250.0
10061,2025-04-28,East,Kolkata,Online,Laptop,Electronics,1,61750.0,0.1,UPI,C006,61750.0,6175.0,55575.0
10062,2025-03-17,West,Pune,Retail Store,Monitor,Electronics,5,12600.0,0.0,Card,C007,63000.0,0.0,63000.0
10063,2025-03-31,North,Lucknow,Distributor,Keyboard,Electronics,6,1710.0,0.0,Cash,C008,10260.0,0.0,10260.0
10064,2025-01-27,South,Bengaluru,Online,Mouse,Electronics,2,800.0,0.05,Net Banking,C009,1600.0,80.0,1520.0
10065,2025-04-17,East,Howrah,Retail Store,Office Chair,Furniture,5,8075.0,0.0,UPI,C010,40375.0,0.0,40375.0
10066,2025-06-17,West,Surat,Distributor,Desk,Furniture,6,14000.0,0.0,Card,C011,84000.0,0.0,84000.0
10067,2025-03-04,North,Delhi,Online,Printer,Electronics,7,11000.0,0.1,Cash,C012,77000.0,7700.0,69300.0
